City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.98,scattered clouds,-9.8,-139.0333,Pearl Resort
5,Hithadhoo,MV,80.13,light rain,-0.6,73.0833,Pebbles Inn
12,Cape Town,ZA,70.92,clear sky,-33.9258,18.4232,Townhouse Hotel
15,Touros,BR,79.45,broken clouds,-5.1989,-35.4608,Pousada Atlântico
23,Singleton,AU,74.98,light rain,-32.5667,151.1833,Quest Apartments
27,Vaini,TO,87.96,scattered clouds,-21.2,-175.2,Keleti International Resort
33,Cabo San Lucas,MX,70.61,overcast clouds,22.8909,-109.9124,Comfort Rooms
37,Hilo,US,87.28,few clouds,19.7297,-155.09,Dolphin Bay Hotel
43,Port Hedland,AU,80.65,light rain,-20.3167,118.5667,The Esplanade Hotel
53,Rikitea,PF,77.09,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
55,Dakar,SN,70.68,scattered clouds,14.6937,-17.4441,翁记小吃
57,Kandi,BJ,75.25,clear sky,11.1342,2.9386,God Blessing
61,Jacqueville,CI,80.35,broken clouds,5.2052,-4.4146,Complexe hôtelier Grand Roi
69,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
73,Quatre Cocos,MU,78.1,very heavy rain,-20.2078,57.7625,Horisun
76,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Pono Kai Resort
89,Bandrele,YT,83.95,light rain,-12.9067,45.1914,Les Baobabs
93,Caravelas,BR,75.87,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
94,Sal Rei,CV,70.79,clear sky,16.1833,-22.9167,Hotel Marine Club
103,Rocha,UY,71.29,clear sky,-34.4833,-54.3333,Hotel Municipal
105,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
109,Pedernales,DO,75.52,clear sky,18.0384,-71.744,Hostal Doña Chava
118,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
123,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,JARS RESORT
128,Phan Thiet,VN,72.54,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
129,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,Divers Lodge Lembeh
149,Mahebourg,MU,78.26,heavy intensity rain,-20.4081,57.7,Grand Bel Air
150,Chuy,UY,71.83,broken clouds,-33.6971,-53.4616,Alerces
160,Karratha,AU,81.57,overcast clouds,-20.7377,116.8463,Karratha International Hotel
161,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
162,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
172,Isangel,VU,80.82,few clouds,-19.55,169.2667,Tanna Lodge
173,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Den Long Đỗ
176,Sao Filipe,CV,74.21,few clouds,14.8961,-24.4956,Bela Vista
180,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Q-Hotel Grand Dafam
181,Gambela,ET,82.89,broken clouds,8.25,34.5833,Grand Hotel
183,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
184,Pontes E Lacerda,BR,76.1,broken clouds,-15.2261,-59.3353,Hotel Avenida
190,Cidreira,BR,74.28,broken clouds,-30.1811,-50.2056,Hotel Castelo
191,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Terra Sur
194,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
195,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
197,Dickinson,US,71.69,clear sky,29.4608,-95.0513,Days Inn by Wyndham Dickinson TX
205,Kumba,CM,73.62,scattered clouds,4.6363,9.4469,Sharma Rock Hotel
209,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue
212,Ternate,ID,79.84,overcast clouds,0.8,127.4,Boulivard ternate
217,Neuquen,AR,76.89,scattered clouds,-38.9516,-68.0591,Hotel Argentina 307
234,Meulaboh,ID,74.3,overcast clouds,4.1363,96.1285,Hotel Meuligou
242,Tarakan,ID,76.5,few clouds,3.3,117.6333,Hotel Dynasty
253,Mindelo,CV,71.15,few clouds,16.8901,-24.9804,Solar Windelo
254,Necochea,AR,76.03,scattered clouds,-38.5473,-58.7368,Cabañas Río Quequén
255,Puerto Carreno,CO,85.93,overcast clouds,6.189,-67.4859,Carreño Plaza
256,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,Ibis Styles
264,Sibolga,ID,73.44,overcast clouds,1.7427,98.7792,Hotel Prima Indah
272,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hotel Gondwana
274,Clarence Town,AU,71.82,light rain,-32.5833,151.7833,Erringhi Hotel
280,Hervey Bay,AU,77.02,scattered clouds,-25.2986,152.8535,Hervey Bay Hotel
287,Vanimo,PG,79.95,overcast clouds,-2.6741,141.3028,CBC Guesthouse
289,Sinnamary,GF,75.69,overcast clouds,5.3833,-52.95,Hôtel du fleuve
299,Kavieng,PG,82.85,overcast clouds,-2.5744,150.7967,Kavieng Hotel
305,Miri,MY,75.34,few clouds,4.4148,114.0089,Kenyalang Suites Miri
306,Mar Del Plata,AR,76.08,clear sky,-38.0023,-57.5575,Nuevo Ostende
314,Bengkulu,ID,72.37,overcast clouds,-3.8004,102.2655,Dena Hotel
322,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Deyna's City Inn
323,Mandera,KE,79.57,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
324,Bella Union,UY,87.48,broken clouds,-30.2752,-57.6007,Hotel Oriente
328,Axim,GH,79.61,broken clouds,4.8699,-2.2405,Axim Beach Hotel
330,Yulara,AU,76.78,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
338,General Roca,AR,81.61,light rain,-39.0333,-67.5833,Hotel Austral
