City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,64.3833,-173.3,-2.09,84,75,4.47,broken clouds
1,New Norfolk,AU,-42.7826,147.0587,60.93,60,18,1.01,few clouds
2,Weligama,LK,5.9667,80.4167,73.26,90,93,2.89,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,79.2,70,100,16.84,overcast clouds
4,Castro,BR,-24.7911,-50.0119,67.08,65,21,4.27,few clouds
5,Khorramabad,IR,33.4878,48.3558,37.02,87,75,4.61,broken clouds
6,Hithadhoo,MV,-0.6,73.0833,80.53,75,82,5.03,broken clouds
7,Westport,US,41.1415,-73.3579,44.64,55,100,21.85,overcast clouds
8,Busselton,AU,-33.65,115.3333,60.03,91,76,4.5,broken clouds
9,Hasaki,JP,35.7333,140.8333,35.22,55,100,7.43,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,62.8,77,6,6.08,clear sky
11,Lebu,CL,-37.6167,-73.65,62.78,73,0,14.54,clear sky
12,Kaitangata,NZ,-46.2817,169.8464,60.21,94,100,8.84,moderate rain
13,Macas,EC,-2.3167,-78.1167,82.15,50,40,11.5,light rain
14,Belmonte,BR,-15.8631,-38.8828,78.58,81,88,8.93,overcast clouds
15,Avarua,CK,-21.2078,-159.775,84.25,74,20,11.5,few clouds
16,Ondjiva,AO,-17.0667,15.7333,69.44,81,60,5.75,broken clouds
17,Butaritari,KI,3.0707,172.7902,80.13,81,92,17.9,moderate rain
18,Tuatapere,NZ,-46.1333,167.6833,57.15,90,100,10.09,overcast clouds
19,Khatanga,RU,71.9667,102.5,-11.56,82,100,14.41,overcast clouds
20,The Valley,AI,18.217,-63.0578,80.46,65,40,10.36,scattered clouds
21,Tocache,PE,-8.1842,-76.5125,82.96,69,99,1.9,overcast clouds
22,Esperance,AU,-33.8667,121.9,66.4,85,100,6.29,light rain
23,Yellowknife,CA,62.456,-114.3525,-4.45,77,20,15.01,few clouds
24,Ushuaia,AR,-54.8,-68.3,46.06,76,75,25.32,drizzle
25,Flinders,AU,-34.5833,150.8552,73.18,85,100,5.99,overcast clouds
26,Jamestown,US,42.097,-79.2353,30.02,92,100,11.5,mist
